,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity
0,11 Comae Berenices b,305.0,19.4 Jupiters,4.74,2007,Gas Giant,1.08 x Jupiter,1.29 AU,326 days,0.23
1,11 Ursae Minoris b,410.0,14.74 Jupiters,5.016,2009,Gas Giant,1.09 x Jupiter,1.53 AU,1.4 years,0.08
2,14 Andromedae b,247.0,4.8 Jupiters,5.227,2008,Gas Giant,1.15 x Jupiter,0.83 AU,185.8 days,0.0
3,14 Herculis b,59.0,4.66 Jupiters,6.61,2002,Gas Giant,1.15 x Jupiter,2.93 AU,4.9 years,0.37
4,16 Cygni B b,69.0,1.78 Jupiters,6.25,1996,Gas Giant,1.2 x Jupiter,1.66 AU,2.2 years,0.68
5,18 Delphini b,249.0,10.3 Jupiters,5.506,2008,Gas Giant,1.11 x Jupiter,2.6 AU,2.7 years,0.08
6,1RXS J160929.1-210524 b,473.0,8 Jupiters,12.057,2008,Gas Giant,1.664 x Jupiter,330.0 AU,6505.9 years,0.0
7,24 Bootis b,314.0,0.91 Jupiters,5.58,2018,Gas Giant,1.24 x Jupiter,0.19 AU,30.4 days,0.04
8,24 Sextantis b,236.0,1.99 Jupiters,6.441,2010,Gas Giant,1.19 x Jupiter,1.333 AU,452.8 days,0.09
9,24 Sextantis c,236.0,0.86 Jupiters,6.441,2010,Gas Giant,1.24 x Jupiter,2.08 AU,2.4 years,0.29
10,2MASS J01033563-5515561 AB b,154.0,13 Jupiters,,2013,Gas Giant,1.1 x Jupiter,84.0 AU,1767.2 years,0.0
11,2MASS J01225093-2439505 b,117.0,24.5 Jupiters,14.24,2013,Gas Giant,1.0 x Jupiter,52.0 AU,593.2 years,0.0
12,2MASS J02192210-3925225 b,129.0,13.9 Jupiters,15.012,2015,Gas Giant,1.44 x Jupiter,156.0 AU,5878.1 years,0.0
13,2MASS J04414489+2301513 b,457.0,7.5 Jupiters,18.967,2010,Gas Giant,1.13 x Jupiter,15.0 AU,411 years,0.0
14,2MASS J12073346-3932539 b,210.0,4 Jupiters,20.15,2004,Gas Giant,1.16 x Jupiter,46.0 AU,2207.3 years,0.0
15,2MASS J19383260+4603591 b,1307.0,1.9 Jupiters,12.138,2015,Gas Giant,1.2 x Jupiter,0.92 AU,416 days,0.0
16,2MASS J21402931+1625183 A b,82.0,20.95 Jupiters,17.396,2009,Gas Giant,0.92 x Jupiter,Unknown,20.1 years,0.26
17,2MASS J22362452+4751425 b,241.0,12.5 Jupiters,12.51,2016,Gas Giant,1.1 x Jupiter,230.0 AU,4505.7 years,0.0
18,30 Arietis B b,146.0,13.82 Jupiters,6.962,2009,Gas Giant,1.1 x Jupiter,0.99 AU,335.1 days,0.29
19,42 Draconis b,296.0,3.88 Jupiters,4.82,2008,Gas Giant,1.16 x Jupiter,1.19 AU,479.1 days,0.38
20,47 Ursae Majoris b,45.0,2.53 Jupiters,5.05,1996,Gas Giant,1.18 x Jupiter,2.1 AU,3 years,0.03
21,47 Ursae Majoris c,45.0,0.54 Jupiters,5.05,2001,Gas Giant,1.27 x Jupiter,3.6 AU,6.6 years,0.1
22,47 Ursae Majoris d,45.0,1.64 Jupiters,5.05,2009,Gas Giant,1.2 x Jupiter,11.6 AU,38.4 years,0.16
23,4 Ursae Majoris b,240.0,7.1 Jupiters,4.61,2006,Gas Giant,1.13 x Jupiter,0.87 AU,269.3 days,0.43
24,51 Eridani b,96.0,2 Jupiters,5.23,2015,Gas Giant,1.19 x Jupiter,12.0 AU,32 years,0.45
25,51 Pegasi b,50.0,0.46 Jupiters,5.5,1995,Gas Giant,1.27 x Jupiter,0.0527 AU,4.2 days,0.01
26,55 Cancri b,41.0,0.8306 Jupiters,5.96,1996,Gas Giant,1.24 x Jupiter,0.115227 AU,14.7 days,0.0
27,55 Cancri c,41.0,0.1714 Jupiters,5.96,2004,Gas Giant,0.76 x Jupiter,0.241376 AU,44.4 days,0.02
28,55 Cancri d,41.0,3.878 Jupiters,5.96,2002,Gas Giant,1.16 x Jupiter,5.503 AU,13.2 years,0.02
29,55 Cancri e,41.0,8.08 Earths,5.96,2004,Super Earth,1.91 x Earth,0.01544 AU,0.7 days,0.03
30,55 Cancri f,41.0,0.141 Jupiters,5.96,2007,Gas Giant,0.677 x Jupiter,0.788 AU,262 days,0.31
31,61 Virginis b,28.0,5.1 Earths,4.74,2009,Neptune-like,2.11 x Earth,0.050201 AU,4.2 days,0.12
32,61 Virginis c,28.0,18.2 Earths,4.74,2009,Neptune-like,0.398 x Jupiter,0.2175 AU,38 days,0.14
33,61 Virginis d,28.0,22.9 Earths,4.74,2009,Neptune-like,0.456 x Jupiter,0.476 AU,123 days,0.35
34,6 Lyncis b,179.0,2.01 Jupiters,5.86,2008,Gas Giant,1.19 x Jupiter,2.11 AU,2.6 years,0.07
35,70 Virginis b,58.0,7.49 Jupiters,4.97,1996,Gas Giant,1.13 x Jupiter,0.481 AU,116.7 days,0.4
36,75 Ceti b,271.0,3 Jupiters,5.35,2012,Gas Giant,1.17 x Jupiter,2.1 AU,1.9 years,0.12
37,7 Canis Majoris b,65.0,1.85 Jupiters,3.92,2011,Gas Giant,1.2 x Jupiter,1.758 AU,2 years,0.06
38,7 Canis Majoris c,65.0,0.87 Jupiters,3.92,2019,Gas Giant,1.24 x Jupiter,2.153 AU,2.7 years,0.08
39,81 Ceti b,331.0,5.3 Jupiters,5.65,2008,Gas Giant,1.14 x Jupiter,2.5 AU,2.6 years,0.21
40,8 Ursae Minoris b,533.0,1.31 Jupiters,6.83,2015,Gas Giant,1.22 x Jupiter,0.49 AU,93.4 days,0.06
41,91 Aquarii b,144.0,3.2 Jupiters,4.25,2013,Gas Giant,1.17 x Jupiter,0.7 AU,181.4 days,0.03
42,AB Pictoris b,163.0,13.5 Jupiters,9.128,2005,Gas Giant,1.1 x Jupiter,260.0 AU,4421.7 years,0.0
43,Alpha Arietis b,66.0,1.8 Jupiters,2.0,2010,Gas Giant,1.2 x Jupiter,1.2 AU,380.8 days,0.25
44,Alpha Tauri b,67.0,6.47 Jupiters,0.85,2015,Gas Giant,1.13 x Jupiter,1.46 AU,1.7 years,0.1
45,AU Microscopii b,32.0,0.18 Jupiters,8.81,2020,Gas Giant,0.375 x Jupiter,0.066 AU,8.5 days,0.1
46,BD+03 2562 b,8540.0,6.4 Jupiters,9.58,2017,Gas Giant,1.13 x Jupiter,1.3 AU,481.9 days,0.2
47,BD-06 1339 b,66.0,8.5 Earths,9.7,2013,Neptune-like,0.254 x Jupiter,0.0428 AU,3.9 days,0.0
48,BD-06 1339 c,66.0,0.17 Jupiters,9.7,2013,Gas Giant,0.747 x Jupiter,0.435 AU,125.9 days,0.31
49,BD-08 2823 b,135.0,12.7132 Earths,9.88,2009,Neptune-like,0.322 x Jupiter,0.06 AU,5.6 days,0.15
50,BD-08 2823 c,135.0,0.33 Jupiters,9.88,2009,Gas Giant,1.11 x Jupiter,0.68 AU,237.6 days,0.19
51,BD-10 3166 b,276.0,0.59 Jupiters,10.08,2000,Gas Giant,1.26 x Jupiter,0.04 AU,3.5 days,0.02
52,BD-11 4672 b,89.0,0.65 Jupiters,9.99,2014,Gas Giant,1.25 x Jupiter,2.36 AU,4.5 years,0.05
53,BD-11 4672 c,89.0,15.37 Earths,9.99,2020,Neptune-like,0.36 x Jupiter,0.3 AU,74.2 days,0.4
54,BD-13 2130 b,3095.0,9.78 Jupiters,9.45,2007,Gas Giant,1.11 x Jupiter,1.66 AU,2 years,0.21
55,BD+14 4559 b,161.0,1.04 Jupiters,9.63,2009,Gas Giant,1.23 x Jupiter,0.78 AU,268.9 days,0.29
56,BD+15 2375 b,2525.0,1.061 Jupiters,10.31,2016,Gas Giant,1.23 x Jupiter,0.576 AU,153.2 days,0.0
57,BD+15 2940 b,1408.0,1.11 Jupiters,9.046,2013,Gas Giant,1.23 x Jupiter,0.539 AU,137.5 days,0.26
58,BD-17 63 b,113.0,5.1 Jupiters,9.566,2008,Gas Giant,1.15 x Jupiter,1.34 AU,1.8 years,0.54
59,BD+20 2457 b,5450.0,55.59 Jupiters,9.75,2009,Gas Giant,1.03 x Jupiter,1.05 AU,379.6 days,0.15
60,BD+20 2457 c,5450.0,12.47 Jupiters,9.75,2009,Gas Giant,1.1 x Jupiter,2.01 AU,1.7 years,0.18
61,BD+20 274 b,4514.0,4.2 Jupiters,9.36,2012,Gas Giant,1.16 x Jupiter,1.3 AU,1.6 years,0.21
62,BD+20 594 b,588.0,22.2481 Earths,11.038,2016,Neptune-like,0.23 x Jupiter,0.241 AU,41.7 days,0.0
63,BD+48 738 b,2910.0,0.91 Jupiters,9.14,2011,Gas Giant,1.24 x Jupiter,1.0 AU,392.6 days,0.2
64,BD+48 740 b,2215.0,1.7 Jupiters,8.699,2018,Gas Giant,1.2 x Jupiter,1.7 AU,2 years,0.76
65,BD+49 828 b,1460.0,1.6 Jupiters,9.38,2015,Gas Giant,1.21 x Jupiter,4.2 AU,7.1 years,0.35
66,Beta Cancri b,295.0,7.8 Jupiters,3.53,2014,Gas Giant,1.12 x Jupiter,1.7 AU,1.7 years,0.08
67,Beta Pictoris b,64.0,11 Jupiters,3.85,2008,Gas Giant,1.65 x Jupiter,9.1 AU,21 years,0.08
68,Beta Pictoris c,64.0,9 Jupiters,3.85,2019,Gas Giant,1.12 x Jupiter,2.7 AU,3.3 years,0.24
69,Beta Ursae Minoris b,127.0,6.1 Jupiters,2.08,2014,Gas Giant,1.14 x Jupiter,1.4 AU,1.4 years,0.19
70,CFBDSIR J145829+101343 b,75.0,10.5 Jupiters,,2011,Gas Giant,1.11 x Jupiter,2.6 AU,27.5 years,0.0
71,CHXR 73 b,623.0,12.569 Jupiters,17.293,2006,Gas Giant,1.1 x Jupiter,210.0 AU,5146.9 years,0.0
72,CI Tauri b,515.0,11.6 Jupiters,12.939,2019,Gas Giant,1.11 x Jupiter,Unknown,9 days,0.25
73,CoRoT-10 b,1125.0,2.75 Jupiters,15.22,2010,Gas Giant,0.97 x Jupiter,0.1055 AU,13.2 days,0.53
74,CoRoT-11 b,1827.0,2.33 Jupiters,12.939,2010,Gas Giant,1.43 x Jupiter,0.0436 AU,3 days,0.0
75,CoRoT-12 b,3751.0,0.917 Jupiters,15.515,2010,Gas Giant,1.44 x Jupiter,0.04016 AU,2.8 days,0.07
76,CoRoT-13 b,3458.0,1.308 Jupiters,15.039,2010,Gas Giant,0.885 x Jupiter,0.051 AU,4 days,0.0
77,CoRoT-14 b,4371.0,7.6 Jupiters,16.033,2010,Gas Giant,1.09 x Jupiter,0.027 AU,1.5 days,0.0
78,CoRoT-16 b,2740.0,0.535 Jupiters,15.63,2011,Gas Giant,1.17 x Jupiter,0.0618 AU,5.4 days,0.33
79,CoRoT-17 b,3001.0,2.43 Jupiters,15.46,2011,Gas Giant,1.02 x Jupiter,0.0461 AU,3.8 days,0.0
80,CoRoT-18 b,2838.0,3.47 Jupiters,15.0,2011,Gas Giant,1.31 x Jupiter,0.0295 AU,1.9 days,< 0.08
81,CoRoT-19 b,2512.0,1.11 Jupiters,14.007,2011,Gas Giant,1.29 x Jupiter,0.0518 AU,3.9 days,0.05
82,CoRoT-1 b,2627.0,1.03 Jupiters,13.6,2008,Gas Giant,1.49 x Jupiter,0.02752 AU,1.5 days,0.0
83,CoRoT-20 b,2819.0,4.3 Jupiters,14.66,2011,Gas Giant,0.84 x Jupiter,0.09 AU,9.2 days,0.59
